scenario_id,schedule_case,V,AHT,OCC,SHK,Hg,T,week_pattern,p_weekdays,weekday_split,weekday_step,K,ratio_target,pos1,pos2,width1,width2,width_assignment_rule,peak_amplitude_rule,peak_amplitude_ratio,H_talk,H_prod,H_paid,HC_teorico,HC_teorico_ceil,H_prod_noSHK,HC_gross,HC_gross_ceil,ratio_real,lambda,ratio_capped,calls_sum,calls_min,calls_max,fte_min,fte_max,day_weights,n0,N_final,solver_status,objective,coverage,coverage_target,coverage_fail,sum_required,sum_under,sum_over,runtime_sec,workers
D_d6e6242ee4_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.850,increasing-to-friday,0.020,2,4,10.000,28.000,25.000,25.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,4.000,0.935,False,7500,4,37,0.952,8.810,"[0.163, 0.167, 0.17, 0.173, 0.177, 0.075, 0.075]",22.000,20.000,FEASIBLE,162.180,0.911,0.900,False,1785.714,159.714,54.000,420.021,1.000
D_d6e6242ee4_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.850,increasing-to-friday,0.020,2,4,10.000,28.000,25.000,25.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,4.000,0.935,False,7500,4,37,0.952,8.810,"[0.163, 0.167, 0.17, 0.173, 0.177, 0.075, 0.075]",22.000,21.000,FEASIBLE,120.250,0.933,0.900,False,1785.714,120.238,98.524,1200.022,1.000
D_d71854fdb5_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,decreasing-to-friday,0.020,2,2,12.000,38.000,13.000,17.000,extremes_low_high,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.449,False,7500,3,44,0.714,10.476,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",22.000,22.000,OPTIMAL,172.950,0.903,0.900,False,1785.714,173.000,235.286,315.400,1.000
D_d71854fdb5_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.950,decreasing-to-friday,0.020,2,2,12.000,38.000,13.000,17.000,extremes_low_high,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.449,False,7500,3,44,0.714,10.476,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",22.000,21.000,FEASIBLE,136.790,0.926,0.900,False,1785.714,132.286,110.571,1200.016,1.000
D_d727a5abd2_run1,run1,7500,300,0.700,0.200,42,0.500,W1,,,,2,2,22.000,40.000,15.000,15.000,equal,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.341,False,7500,15,30,3.571,7.143,"[0.143, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143]",22.000,21.000,FEASIBLE,174.020,0.902,0.900,False,1785.714,174.190,152.476,420.019,1.000
D_d727a5abd2_run2,run2,7500,300,0.700,0.200,42,0.500,W1,,,,2,2,22.000,40.000,15.000,15.000,equal,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.341,False,7500,15,30,3.571,7.143,"[0.143, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143]",22.000,24.000,FEASIBLE,143.980,0.919,0.900,False,1785.714,143.952,374.238,1200.072,1.000
D_d78fbbc820_run1,run1,7500,300,0.700,0.200,42,0.500,W1,,,,2,4,22.000,40.000,17.000,13.000,extremes_high_low,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,4.000,0.693,False,7500,8,30,1.905,7.143,"[0.143, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143]",22.000,20.000,FEASIBLE,163.420,0.908,0.900,False,1785.714,163.476,57.762,420.017,1.000
D_d78fbbc820_run2,run2,7500,300,0.700,0.200,42,0.500,W1,,,,2,4,22.000,40.000,17.000,13.000,extremes_high_low,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,4.000,0.693,False,7500,8,30,1.905,7.143,"[0.143, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143]",22.000,21.000,FEASIBLE,168.630,0.906,0.900,False,1785.714,168.571,146.857,1200.024,1.000
D_d7b56ec621_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.850,uniform,0.020,1,2,25.000,,16.000,,,,,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.297,False,7500,8,38,1.905,9.048,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",22.000,20.000,FEASIBLE,159.560,0.911,0.900,False,1785.714,159.667,53.952,420.017,1.000
D_d7b56ec621_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.850,uniform,0.020,1,2,25.000,,16.000,,,,,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.297,False,7500,8,38,1.905,9.048,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",22.000,21.000,FEASIBLE,125.260,0.930,0.900,False,1785.714,125.429,103.714,1200.018,1.000
D_d7c936e3e9_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,decreasing-to-friday,0.020,2,2,10.000,28.000,16.000,25.000,extremes_low_high,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.438,False,7500,3,41,0.714,9.762,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",22.000,22.000,OPTIMAL,175.680,0.902,0.900,False,1785.714,175.619,237.905,186.937,1.000
D_d7c936e3e9_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.950,decreasing-to-friday,0.020,2,2,10.000,28.000,16.000,25.000,extremes_low_high,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.438,False,7500,3,41,0.714,9.762,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",22.000,21.000,FEASIBLE,175.030,0.902,0.900,False,1785.714,175.190,153.476,1200.017,1.000
D_d7e62e32a4_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,decreasing-to-friday,0.020,2,2,22.000,40.000,17.000,17.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.425,False,7500,2,37,0.476,8.810,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",22.000,22.000,OPTIMAL,176.190,0.901,0.900,False,1785.714,176.095,238.381,176.244,1.000
