base_id,scenario_id,schedule_case,V,AHT,OCC,SHK,Hg,T,week_pattern,p_weekdays,weekday_split,weekday_step,K,ratio_target,pos1,pos2,width1,width2,width_assignment_rule,peak_amplitude_rule,peak_amplitude_ratio,solver,base_seed,seed_scenario,V_demand,AHT_demand,OCC_demand,SHK_demand,Hg_demand,T_demand,week_pattern_demand,p_weekdays_demand,weekday_split_demand,weekday_step_demand,K_demand,ratio_target_demand,pos1_demand,pos2_demand,width1_demand,width2_demand,width_assignment_rule_demand,peak_amplitude_rule_demand,peak_amplitude_ratio_demand,H_talk,H_prod,H_paid,HC_teorico,HC_teorico_ceil,H_prod_noSHK,HC_gross,HC_gross_ceil,ratio_real,lambda,ratio_capped,calls_sum,calls_min,calls_max,fte_min,fte_max,day_weights,base_seed_sched,seed_scenario_sched,workers,ortools_version,hexaly_version,n0,N_final,solver_status,objective,coverage,coverage_target,coverage_fail,sum_required,sum_under,sum_over,runtime_sec
D_023d023302,D_023d023302_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,increasing-to-friday,0.020,2,6,22.000,40.000,13.000,17.000,extremes_low_high,equal,2.000,cp_sat,12345,242204417,7500,300.000,0.700,0.200,42.000,0.500,W2,0.950,increasing-to-friday,0.020,2,6.000,22.000,40.000,13.000,17.000,extremes_low_high,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,6.000,0.760,False,7500,1,45,0.238,10.714,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",12345.000,242204417.000,1.000,9.15.6755,,22.000,22.000,FEASIBLE,174.590,0.902,0.900,False,1785.714,174.524,236.810,420.009
D_023d023302,D_023d023302_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,increasing-to-friday,0.020,2,6,22.000,40.000,13.000,17.000,extremes_low_high,equal,2.000,hexaly,12345,242204417,7500,300.000,0.700,0.200,42.000,0.500,W2,0.950,increasing-to-friday,0.020,2,6.000,22.000,40.000,13.000,17.000,extremes_low_high,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,6.000,0.760,False,7500,1,45,0.238,10.714,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",,,,,,,,,,,,,,,,
D_023d023302,D_023d023302_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.950,increasing-to-friday,0.020,2,6,22.000,40.000,13.000,17.000,extremes_low_high,equal,2.000,cp_sat,12345,242204417,7500,300.000,0.700,0.200,42.000,0.500,W2,0.950,increasing-to-friday,0.020,2,6.000,22.000,40.000,13.000,17.000,extremes_low_high,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,6.000,0.760,False,7500,1,45,0.238,10.714,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",12345.000,242204417.000,1.000,9.15.6755,,22.000,23.000,FEASIBLE,157.490,0.912,0.900,False,1785.714,157.476,303.762,1200.026
D_023d023302,D_023d023302_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.950,increasing-to-friday,0.020,2,6,22.000,40.000,13.000,17.000,extremes_low_high,equal,2.000,hexaly,12345,242204417,7500,300.000,0.700,0.200,42.000,0.500,W2,0.950,increasing-to-friday,0.020,2,6.000,22.000,40.000,13.000,17.000,extremes_low_high,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,6.000,0.760,False,7500,1,45,0.238,10.714,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",,,,,,,,,,,,,,,,
D_0298f3108f,D_0298f3108f_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,increasing-to-friday,0.020,2,2,22.000,40.000,17.000,13.000,extremes_high_low,different_1_lt_2,2.000,cp_sat,12345,182632885,7500,300.000,0.700,0.200,42.000,0.500,W2,0.950,increasing-to-friday,0.020,2,2.000,22.000,40.000,17.000,13.000,extremes_high_low,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.337,False,7500,3,42,0.714,10.000,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",12345.000,182632885.000,1.000,9.15.6755,,22.000,23.000,OPTIMAL,139.760,0.922,0.900,False,1785.714,139.810,286.095,367.596
D_0298f3108f,D_0298f3108f_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,increasing-to-friday,0.020,2,2,22.000,40.000,17.000,13.000,extremes_high_low,different_1_lt_2,2.000,hexaly,12345,182632885,7500,300.000,0.700,0.200,42.000,0.500,W2,0.950,increasing-to-friday,0.020,2,2.000,22.000,40.000,17.000,13.000,extremes_high_low,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.337,False,7500,3,42,0.714,10.000,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",,,,,,,,,,,,,,,,
D_0298f3108f,D_0298f3108f_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.950,increasing-to-friday,0.020,2,2,22.000,40.000,17.000,13.000,extremes_high_low,different_1_lt_2,2.000,cp_sat,12345,182632885,7500,300.000,0.700,0.200,42.000,0.500,W2,0.950,increasing-to-friday,0.020,2,2.000,22.000,40.000,17.000,13.000,extremes_high_low,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.337,False,7500,3,42,0.714,10.000,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",12345.000,182632885.000,1.000,9.15.6755,,22.000,22.000,FEASIBLE,172.590,0.903,0.900,False,1785.714,172.762,235.048,1200.032
D_0298f3108f,D_0298f3108f_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.950,increasing-to-friday,0.020,2,2,22.000,40.000,17.000,13.000,extremes_high_low,different_1_lt_2,2.000,hexaly,12345,182632885,7500,300.000,0.700,0.200,42.000,0.500,W2,0.950,increasing-to-friday,0.020,2,2.000,22.000,40.000,17.000,13.000,extremes_high_low,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.337,False,7500,3,42,0.714,10.000,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",,,,,,,,,,,,,,,,
D_02dbcd8458,D_02dbcd8458_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,increasing-to-friday,0.020,2,2,10.000,28.000,20.000,20.000,equal,equal,2.000,cp_sat,12345,750429370,7500,300.000,0.700,0.200,42.000,0.500,W2,0.950,increasing-to-friday,0.020,2,2.000,10.000,28.000,20.000,20.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.487,False,7500,2,37,0.476,8.810,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",12345.000,750429370.000,1.000,9.15.6755,,22.000,22.000,OPTIMAL,173.220,0.903,0.900,False,1785.714,173.238,235.524,30.765
D_02dbcd8458,D_02dbcd8458_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,increasing-to-friday,0.020,2,2,10.000,28.000,20.000,20.000,equal,equal,2.000,hexaly,12345,750429370,7500,300.000,0.700,0.200,42.000,0.500,W2,0.950,increasing-to-friday,0.020,2,2.000,10.000,28.000,20.000,20.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.487,False,7500,2,37,0.476,8.810,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",,,,,,,,,,,,,,,,
